compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz,atomic_base_mass,atomic_mz,rdkit_base_mass,rdkit_mz,atomic_difference,rdkit_difference,method_difference
PBG fragment 1 [M+K]+,PBG fragment 1,,C7H7NO,C7H7KNO,potassiated,160.0164708488,121.05276384884999,160.01647084885,,,4.999378688808065e-11,,
PBG fragment 1 [2M+H]+,PBG fragment 1,,C14H14N2O2,C14H15N2O2,dimer_protonated,242.1055276977,242.10552769769998,243.11335269769998,,,1.0078249999999684,,
PBG fragment 2 [M+H]+,PBG fragment 2,,C7H8O2,C7H9O2,protonated,125.0602544957,124.05242949568,125.06025449568,,,1.999467258428922e-11,,
PBG fragment 2 [M+NH4]+,PBG fragment 2,,C7H8O2,C7H12NO2,ammoniated,142.0862524957,124.05242949568,142.08625249568001,,,1.9980461729574017e-11,,
PBG fragment 2 [M+Na]+,PBG fragment 2,,C7H8O2,C7H8NaO2,sodiated,147.0421984957,124.05242949568,147.04219849568,,,2.000888343900442e-11,,
PBG fragment 2 [M+K]+,PBG fragment 2,,C7H8O2,C7H8KO2,potassiated,163.0161364957,124.05242949568,163.01613649568,,,2.000888343900442e-11,,
PBG fragment 2 [2M+H]+,PBG fragment 2,,C14H16O4,C14H17O4,dimer_protonated,248.1048589914,248.10485899136,249.11268399136,,,1.0078249999600075,,
Quinoline [M+H]+,Quinoline,,C9H7N,C9H8N,protonated,130.0656742293,129.05784922929,130.06567422929,,,9.976020010071807e-12,,
Quinoline [M+NH4]+,Quinoline,,C9H7N,C9H11N2,ammoniated,147.0916722293,129.05784922929,147.09167222929003,,,9.976020010071807e-12,,
Quinoline [M+Na]+,Quinoline,,C9H7N,C9H7NNa,sodiated,152.0476182293,129.05784922929,152.04761822929,,,1.000444171950221e-11,,
Quinoline [M+K]+,Quinoline,,C9H7N,C9H7KN,potassiated,168.0215562293,129.05784922929,168.02155622929,,,9.976020010071807e-12,,
Quinoline [2M+H]+,Quinoline,,C18H14N2,C18H15N2,dimer_protonated,258.1156984586,258.11569845858,259.12352345858005,,,1.0078249999800732,,
Selenic acid [M+H]+,Selenic acid,80Se,H2SeO4,H3O4Se,protonated,146.9196548424,145.91182984238,146.91965484238,,,2.000888343900442e-11,,
Selenic acid [M+NH4]+,Selenic acid,80Se,H2SeO4,H6NO4Se,ammoniated,163.9456528424,145.91182984238,163.94565284238,,,1.9980461729574017e-11,,
Selenic acid [M+Na]+,Selenic acid,80Se,H2SeO4,H2NaO4Se,sodiated,168.9015988424,145.91182984238,168.90159884238,,,2.000888343900442e-11,,
Selenic acid [M+K]+,Selenic acid,80Se,H2SeO4,H2KO4Se,potassiated,184.8755368424,145.91182984238,184.87553684238,,,2.000888343900442e-11,,
Selenic acid [2M+H]+,Selenic acid,80Se,H4O8Se2,H5O8Se2,dimer_protonated,291.8236596848,291.82365968476,292.83148468476,,,1.0078249999600075,,
Coumarin [M+H]+,Coumarin,,C9H6O2,C9H7O2,protonated,147.0446044315,146.03677943154,147.04460443154,,,3.998934516857844e-11,,
Coumarin [M+NH4]+,Coumarin,,C9H6O2,C9H10NO2,ammoniated,164.0706024315,146.03677943154,164.07060243154,,,4.001776687800884e-11,,
Coumarin [M+Na]+,Coumarin,,C9H6O2,C9H6NaO2,sodiated,169.0265484315,146.03677943154,169.02654843154,,,3.998934516857844e-11,,
Coumarin [M+K]+,Coumarin,,C9H6O2,C9H6KO2,potassiated,185.0004864315,146.03677943154,185.00048643154,,,3.998934516857844e-11,,
Coumarin [2M+H]+,Coumarin,,C18H12O4,C18H13O4,dimer_protonated,292.0735588631,292.07355886308,293.08138386308,,,1.0078249999800164,,
Lead stearate [M+H]+,Lead stearate,,C6H15NO3,C6H16NO3,protonated,150.1130183445,149.10519334453,150.11301834453,,,2.998490344907623e-11,,
Lead stearate [M+NH4]+,Lead stearate,,C6H15NO3,C6H19N2O3,ammoniated,167.1390163445,149.10519334453,167.13901634453,,,3.001332515850663e-11,,
Lead stearate [M+Na]+,Lead stearate,,C6H15NO3,C6H15NNaO3,sodiated,172.0949623445,149.10519334453,172.09496234453,,,2.998490344907623e-11,,
Lead stearate [M+K]+,Lead stearate,,C6H15NO3,C6H15KNO3,potassiated,188.0689003445,149.10519334453,188.06890034453,,,2.998490344907623e-11,,
Lead stearate [2M+H]+,Lead stearate,,C12H30N2O6,C12H31N2O6,dimer_protonated,298.2103866891,298.21038668906,299.21821168906,,,1.0078249999600075,,
Triethanolamine [M+H]+,Triethanolamine,,C6H15NO3,C6H16NO3,protonated,150.1130183445,149.10519334453,150.11301834453,,,2.998490344907623e-11,,
Triethanolamine [M+NH4]+,Triethanolamine,,C6H15NO3,C6H19N2O3,ammoniated,167.1390163445,149.10519334453,167.13901634453,,,3.001332515850663e-11,,
Triethanolamine [M+Na]+,Triethanolamine,,C6H15NO3,C6H15NNaO3,sodiated,172.0949623445,149.10519334453,172.09496234453,,,2.998490344907623e-11,,
Triethanolamine [M+K]+,Triethanolamine,,C6H15NO3,C6H15KNO3,potassiated,188.0689003445,149.10519334453,188.06890034453,,,2.998490344907623e-11,,
Triethanolamine [2M+H]+,Triethanolamine,,C12H30N2O6,C12H31N2O6,dimer_protonated,298.2103866891,298.21038668906,299.21821168906,,,1.0078249999600075,,
Triethanolamine [M-H2O+H]+,Triethanolamine,,C6H13NO2,C6H14NO2,dehydrated_protonated,131.0946286608,131.09462866082998,114.08680366082999,,,17.007824999970012,,
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,C9H10NO2,protonated,164.0711535326,163.06332853255003,164.07115353255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+NH4]+,WPBG-027 fragment,,C9H9NO2,C9H13N2O2,ammoniated,181.0971515326,163.06332853255003,181.09715153255004,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+Na]+,WPBG-027 fragment,,C9H9NO2,C9H9NNaO2,sodiated,186.0530975326,163.06332853255003,186.05309753255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [M+K]+,WPBG-027 fragment,,C9H9NO2,C9H9KNO2,potassiated,202.0270355326,163.06332853255003,202.02703553255003,,,4.9965365178650245e-11,,
WPBG-027 fragment [2M+H]+,WPBG-027 fragment,,C18H18N2O4,C18H19N2O4,dimer_protonated,326.1266570651,326.12665706510006,327.1344820651001,,,1.0078250000000821,,
Diphenylphosphine [M+H]+,Diphenylphosphine,,C12H11P,C12H12P,protonated,187.0676619828,186.05983698276998,187.06766198276998,,,3.001332515850663e-11,,
Diphenylphosphine [M+NH4]+,Diphenylphosphine,,C12H11P,C12H15NP,ammoniated,204.0936599828,186.05983698276998,204.09365998277,,,3.001332515850663e-11,,
Diphenylphosphine [M+Na]+,Diphenylphosphine,,C12H11P,C12H11NaP,sodiated,209.0496059828,186.05983698276998,209.04960598276998,,,3.001332515850663e-11,,
Diphenylphosphine [M+K]+,Diphenylphosphine,,C12H11P,C12H11KP,potassiated,225.0235439828,186.05983698276998,225.02354398276998,,,3.001332515850663e-11,,
Diphenylphosphine [2M+H]+,Diphenylphosphine,,C24H22P2,C24H23P2,dimer_protonated,372.1196739655,372.11967396553996,373.12749896554,,,1.0078250000399862,,
Diphenylphosphine oxide [M+H]+,Diphenylphosphine oxide,,C12H11OP,C12H12OP,protonated,203.0625766023,202.05475160233,203.06257660232998,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+NH4]+,Diphenylphosphine oxide,,C12H11OP,C12H15NOP,ammoniated,220.0885746023,202.05475160233,220.08857460233,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+Na]+,Diphenylphosphine oxide,,C12H11OP,C12H11NaOP,sodiated,225.0445206023,202.05475160233,225.04452060232998,,,2.998490344907623e-11,,
Diphenylphosphine oxide [M+K]+,Diphenylphosphine oxide,,C12H11OP,C12H11KOP,potassiated,241.0184586023,202.05475160233,241.01845860232999,,,2.998490344907623e-11,,
Diphenylphosphine oxide [2M+H]+,Diphenylphosphine oxide,,C24H22O2P2,C24H23O2P2,dimer_protonated,404.1095032047,404.10950320466,405.11732820466,,,1.0078249999600075,,
3-MPTMS [M+H]+,3-MPTMS,,C6H16O3SSi,C6H17O3SSi,protonated,197.0667669043,196.05894190429999,197.06676690429998,,,2.842170943040401e-14,,
3-MPTMS [M+NH4]+,3-MPTMS,,C6H16O3SSi,C6H20NO3SSi,ammoniated,214.0927649043,196.05894190429999,214.0927649043,,,0.0,,
3-MPTMS [M+Na]+,3-MPTMS,,C6H16O3SSi,C6H16NaO3SSi,sodiated,219.0487109043,196.05894190429999,219.04871090429998,,,2.842170943040401e-14,,
3-MPTMS [M+K]+,3-MPTMS,,C6H16O3SSi,C6H16KO3SSi,potassiated,235.0226489043,196.05894190429999,235.02264890429998,,,2.842170943040401e-14,,
3-MPTMS [2M+H]+,3-MPTMS,,C12H32O6S2Si2,C12H33O6S2Si2,dimer_protonated,392.1178838086,392.11788380859997,393.1257088086,,,1.0078249999999684,,
