compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,77Se,C24H22PSe2,C24H23PSe2,dimer_protonated,495.99356536761
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H12PSe,protonated,264.98497111484
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H15NPSe,ammoniated,282.01152021585
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11NaPSe,sodiated,286.96691536367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,78Se,C12H11PSe,C12H11KPSe,potassiated,302.94085276277
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,78Se,C24H22PSe2,C24H23PSe2,dimer_protonated,497.98835556761003
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H12PSe,protonated,266.98418331484
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H15NPSe,ammoniated,284.01073241585
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11NaPSe,sodiated,288.96612756367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,80Se,C12H11PSe,C12H11KPSe,potassiated,304.94006496277
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,80Se,C24H22PSe2,C24H23PSe2,dimer_protonated,501.98677996761
Diphenylphosphine selenide [M+H]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H12PSe,protonated,268.98436141484
Diphenylphosphine selenide [M+NH4]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H15NPSe,ammoniated,286.01091051585
Diphenylphosphine selenide [M+Na]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11NaPSe,sodiated,290.96630566367
Diphenylphosphine selenide [M+K]+,Diphenylphosphine selenide,82Se,C12H11PSe,C12H11KPSe,potassiated,306.94024306277004
Diphenylphosphine selenide [2M+H]+,Diphenylphosphine selenide,82Se,C24H22PSe2,C24H23PSe2,dimer_protonated,505.98713616761
Linoleic acid [M+H]+,Linoleic acid,,C18H34O2,C18H35O2,protonated,283.26370536157
Linoleic acid [M+NH4]+,Linoleic acid,,C18H34O2,C18H38NO2,ammoniated,300.29025446258004
Linoleic acid [M+Na]+,Linoleic acid,,C18H34O2,C18H34NaO2,sodiated,305.2456496104
Linoleic acid [M+K]+,Linoleic acid,,C18H34O2,C18H34KO2,potassiated,321.2195870095
Linoleic acid [2M+H]+,Linoleic acid,,C36H68O4,C36H69O4,dimer_protonated,565.51958569107
Linoleic acid [M-H2O+H]+,Linoleic acid,,C18H32O,C18H33O,dehydrated_protonated,265.25314067787
Linoleic acid [M-CO2+H]+,Linoleic acid,,C17H34,C17H35,decarboxylated_protonated,239.27387612245
Oleic acid - H2O [M+H]+,Oleic acid - H2O,,C18H32O,C18H33O,protonated,265.25314067787
Oleic acid - H2O [M+NH4]+,Oleic acid - H2O,,C18H32O,C18H36NO,ammoniated,282.27968977888
Oleic acid - H2O [M+Na]+,Oleic acid - H2O,,C18H32O,C18H32NaO,sodiated,287.23508492670004
Oleic acid - H2O [M+K]+,Oleic acid - H2O,,C18H32O,C18H32KO,potassiated,303.20902232580005
Oleic acid - H2O [2M+H]+,Oleic acid - H2O,,C36H64O2,C36H65O2,dimer_protonated,529.49845632367
Linoleic acid - H2O [M+H]+,Linoleic acid - H2O,,C18H30O,C18H31O,protonated,263.23749061373
Linoleic acid - H2O [M+NH4]+,Linoleic acid - H2O,,C18H30O,C18H34NO,ammoniated,280.26403971474
Linoleic acid - H2O [M+Na]+,Linoleic acid - H2O,,C18H30O,C18H30NaO,sodiated,285.21943486256004
Linoleic acid - H2O [M+K]+,Linoleic acid - H2O,,C18H30O,C18H30KO,potassiated,301.19337226166004
Linoleic acid - H2O [2M+H]+,Linoleic acid - H2O,,C36H60O2,C36H61O2,dimer_protonated,525.46715619539
