compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
3-MPTMS [M+NH4]+,3-MPTMS,,C6H16O3SSi,C6H20NO3SSi,ammoniated,214.0927649043
3-MPTMS [M+Na]+,3-MPTMS,,C6H16O3SSi,C6H16NaO3SSi,sodiated,219.0487109043
3-MPTMS [M+K]+,3-MPTMS,,C6H16O3SSi,C6H16KO3SSi,potassiated,235.0226489043
3-MPTMS [2M+H]+,3-MPTMS,,C12H32O6S2Si2,C12H33O6S2Si2,dimer_protonated,392.1178838086
Diphenylphosphinic acid [M+H]+,Diphenylphosphinic acid,,C12H11O2P,C12H12O2P,protonated,219.0574912219
Diphenylphosphinic acid [M+NH4]+,Diphenylphosphinic acid,,C12H11O2P,C12H15NO2P,ammoniated,236.0834892219
Diphenylphosphinic acid [M+Na]+,Diphenylphosphinic acid,,C12H11O2P,C12H11NaO2P,sodiated,241.0394352219
Diphenylphosphinic acid [M+K]+,Diphenylphosphinic acid,,C12H11O2P,C12H11KO2P,potassiated,257.0133732219
Diphenylphosphinic acid [2M+H]+,Diphenylphosphinic acid,,C24H22O4P2,C24H23O4P2,dimer_protonated,436.0993324438
Lead oxide [M+H]+,Lead oxide,204Pb,PbO,HOPb,protonated,224.9793917196
Lead oxide [M+NH4]+,Lead oxide,204Pb,PbO,H4NOPb,ammoniated,242.0053897196
Lead oxide [M+Na]+,Lead oxide,204Pb,PbO,NaOPb,sodiated,246.9613357196
Lead oxide [M+K]+,Lead oxide,204Pb,PbO,KOPb,potassiated,262.9352737196
Lead oxide [2M+H]+,Lead oxide,204Pb,O2Pb2,HO2Pb2,dimer_protonated,447.9431334391
Lead hydroxide [M+H]+,Lead hydroxide,204Pb,PbOH2,H3OPb,protonated,226.9950417837
Lead hydroxide [M+NH4]+,Lead hydroxide,204Pb,PbOH2,H6NOPb,ammoniated,244.0210397837
Lead hydroxide [M+Na]+,Lead hydroxide,204Pb,PbOH2,H2NaOPb,sodiated,248.9769857837
Lead hydroxide [M+K]+,Lead hydroxide,204Pb,PbOH2,H2KOPb,potassiated,264.9509237837
Lead hydroxide [2M+H]+,Lead hydroxide,204Pb,H4O2Pb2,H5O2Pb2,dimer_protonated,451.9744335674
PBG [M+H]+,PBG,,C14H17NO2,C14H18NO2,protonated,232.1337537891
PBG [M+NH4]+,PBG,,C14H17NO2,C14H21N2O2,ammoniated,249.1597517891
PBG [M+Na]+,PBG,,C14H17NO2,C14H17NNaO2,sodiated,254.1156977891
PBG [M+K]+,PBG,,C14H17NO2,C14H17KNO2,potassiated,270.0896357891
PBG [2M+H]+,PBG,,C28H34N2O4,C28H35N2O4,dimer_protonated,462.2518575782
WPBG-027 [M+H]+,WPBG-027,,C14H17NO2,C14H18NO2,protonated,232.1337537891
WPBG-027 [M+NH4]+,WPBG-027,,C14H17NO2,C14H21N2O2,ammoniated,249.1597517891
WPBG-027 [M+Na]+,WPBG-027,,C14H17NO2,C14H17NNaO2,sodiated,254.1156977891
WPBG-027 [M+K]+,WPBG-027,,C14H17NO2,C14H17KNO2,potassiated,270.0896357891
WPBG-027 [2M+H]+,WPBG-027,,C28H34N2O4,C28H35N2O4,dimer_protonated,462.2518575782
TBA+ [M+H]+,TBA+,,C16H36N,C16H37N,protonated,243.2926001593
TBA+ [M+NH4]+,TBA+,,C16H36N,C16H40N2,ammoniated,260.3185981593
TBA+ [M+Na]+,TBA+,,C16H36N,C16H36NNa,sodiated,265.2745441593
TBA+ [M+K]+,TBA+,,C16H36N,C16H36KN,potassiated,281.2484821593
TBA+ [2M+H]+,TBA+,,C32H72N2,C32H73N2,dimer_protonated,484.5695503186
1-Octadecene [M+H]+,1-Octadecene,,C18H36,C18H37,protonated,253.2895261545
