compound,base_compound,isotope_info,neutral_formula,ion_formula,mass_type,calculated_mz
Selenic acid [M+K]+,Selenic acid,80Se,H2SeO4,H2KO4Se,potassiated,185.02832364077614
Selenic acid [2M+H]+,Selenic acid,80Se,H4O8Se2,H5O8Se2,dimer_protonated,292.8679857865226
Coumarin [M+H]+,Coumarin,,C9H6O2,C9H7O2,protonated,147.15101820241136
Coumarin [M+NH4]+,Coumarin,,C9H6O2,C9H10NO2,ammoniated,164.18154367591063
Coumarin [M+Na]+,Coumarin,,C9H6O2,C9H6NaO2,sodiated,169.13284672941563
Coumarin [M+K]+,Coumarin,,C9H6O2,C9H6KO2,potassiated,185.2413785729784
Coumarin [2M+H]+,Coumarin,,C18H12O4,C18H13O4,dimer_protonated,293.294095650927
Lead stearate [M+H]+,Lead stearate,,C6H15NO3,C6H16NO3,protonated,150.19638543612228
Lead stearate [M+NH4]+,Lead stearate,,C6H15NO3,C6H19N2O3,ammoniated,167.22691090962152
Lead stearate [M+Na]+,Lead stearate,,C6H15NO3,C6H15NNaO3,sodiated,172.1782139631265
Lead stearate [M+K]+,Lead stearate,,C6H15NO3,C6H15KNO3,potassiated,188.28674580668925
Lead stearate [2M+H]+,Lead stearate,,C12H30N2O6,C12H31N2O6,dimer_protonated,299.3848301183488
Triethanolamine [M+H]+,Triethanolamine,,C6H15NO3,C6H16NO3,protonated,150.19638543612228
Triethanolamine [M+NH4]+,Triethanolamine,,C6H15NO3,C6H19N2O3,ammoniated,167.22691090962152
Triethanolamine [M+Na]+,Triethanolamine,,C6H15NO3,C6H15NNaO3,sodiated,172.1782139631265
Triethanolamine [M+K]+,Triethanolamine,,C6H15NO3,C6H15KNO3,potassiated,188.28674580668925
Triethanolamine [2M+H]+,Triethanolamine,,C12H30N2O6,C12H31N2O6,dimer_protonated,299.3848301183488
Triethanolamine [M-H2O+H]+,Triethanolamine,,C6H13NO2,C6H14NO2,dehydrated_protonated,132.1810990012003
WPBG-027 fragment [M+H]+,WPBG-027 fragment,,C9H9NO2,C9H10NO2,protonated,164.18154367591063
WPBG-027 fragment [M+NH4]+,WPBG-027 fragment,,C9H9NO2,C9H13N2O2,ammoniated,181.2120691494099
WPBG-027 fragment [M+Na]+,WPBG-027 fragment,,C9H9NO2,C9H9NNaO2,sodiated,186.16337220291487
WPBG-027 fragment [M+K]+,WPBG-027 fragment,,C9H9NO2,C9H9KNO2,potassiated,202.27190404647763
WPBG-027 fragment [2M+H]+,WPBG-027 fragment,,C18H18N2O4,C18H19N2O4,dimer_protonated,327.3551465979255
Diphenylphosphine [M+H]+,Diphenylphosphine,,C12H11P,C12H12P,protonated,187.1978814379226
Diphenylphosphine [M+NH4]+,Diphenylphosphine,,C12H11P,C12H15NP,ammoniated,204.22840691142187
Diphenylphosphine [M+Na]+,Diphenylphosphine,,C12H11P,C12H11NaP,sodiated,209.17970996492681
Diphenylphosphine [M+K]+,Diphenylphosphine,,C12H11P,C12H11KP,potassiated,225.2882418084896
Diphenylphosphine [2M+H]+,Diphenylphosphine,,C24H22P2,C24H23P2,dimer_protonated,373.3878221219495
Diphenylphosphine oxide [M+H]+,Diphenylphosphine oxide,,C12H11OP,C12H12OP,protonated,203.19728636505306
Diphenylphosphine oxide [M+NH4]+,Diphenylphosphine oxide,,C12H11OP,C12H15NOP,ammoniated,220.22781183855233
Diphenylphosphine oxide [M+Na]+,Diphenylphosphine oxide,,C12H11OP,C12H11NaOP,sodiated,225.17911489205727
Diphenylphosphine oxide [M+K]+,Diphenylphosphine oxide,,C12H11OP,C12H11KOP,potassiated,241.28764673562006
Diphenylphosphine oxide [2M+H]+,Diphenylphosphine oxide,,C24H22O2P2,C24H23O2P2,dimer_protonated,405.3866319762104
