scan_number,compound,theoretical_mz,observed_mz,mz_difference,tolerance_used,intensity,sn_ratio,mass_type,molecular_formula
7,Quinoline [M+H]+,130.06567426136002,130.0824,0.01672573863999105,0.02,2468.0,103.1,protonated,C9H7N
7,Coumarin [M+H]+,147.044605,147.0411,0.0035049999999898773,0.01,1814.0,74.5,protonated,C9H6O2
7,Lead stearate [M+H]+,150.1130183766,150.1142,0.0011816234000150416,0.01,4830.0,196.2,protonated,C6H15NO3
7,Triethanolamine [M+H]+,150.11301899999998,150.1142,0.0011810000000309628,0.01,4830.0,196.2,protonated,C6H15NO3
7,Quinoline [M+Na]+,152.047619,152.0301,0.017518999999992957,0.02,443.0,17.8,sodium_adduct,C9H7N
7,WPBG-027 fragment [M+H]+,164.071154,164.0719,0.0007459999999923639,0.01,3148.0,124.3,protonated,C9H9NO2
7,Diphenylphosphine [M+H]+,187.06766201484,187.0547,0.01296201484001358,0.02,1403.0,52.1,protonated,C12H11P
7,3-MPTMS [M+H]+,209.06676693637,209.0775,0.010733063629999151,0.02,1163.0,39.8,protonated,C7H16O3SSi
7,PBG [M+H]+,232.13375382118,232.1481,0.014346178820005662,0.02,2160.0,66.3,protonated,C14H17NO2
7,WPBG-027 [M+H]+,232.13375382118,232.1481,0.014346178820005662,0.02,2160.0,66.3,protonated,C14H17NO2
7,1-Octadecene [M+H]+,253.289525,253.2785,0.011024999999989404,0.02,336.0,9.2,protonated,C18H36
7,Linoleic acid [M+Na]+,305.24565,305.2353,0.010350000000016735,0.02,1720.0,33.5,sodium_adduct,C18H34O2
7,Oleic acid [M+Na]+,305.24565,305.2353,0.010350000000016735,0.02,1720.0,33.5,sodium_adduct,C18H34O2
7,Stearic acid [M+Na]+,307.2613,307.2454,0.015899999999987813,0.02,1463.0,28.2,sodium_adduct,C18H36O2
7,Lead acetate [M+H]+,327.01108700000003,326.9951,0.015987000000052376,0.02,6618.0,116.8,protonated,PbC4H6O4
7,TOPO [M+H]+,387.3755779172,387.3596,0.01597791720001851,0.02,1778.0,29.0,protonated,C24H51OP
8,DMSO [M+H]+,79.02176084405,79.0167,0.005060844049992852,0.01,1978.0,80.4,protonated,C2H6OS
8,DMSO-d6 [M+H]+,85.059423,85.0593,0.00012300000000209366,0.01,10537.0,431.2,protonated,C2D6OS
8,Piperidine [M+H]+,86.09697399999999,86.0922,0.004773999999983403,0.01,1063.0,43.5,protonated,C5H11N
8,Toluene [M+H]+,93.070425,93.0649,0.005525000000005775,0.01,40201.0,1649.7,protonated,C7H8
8,Aniline [M+H]+,94.065674,94.0635,0.0021739999999965676,0.01,5148.0,211.4,protonated,C6H7N
8,Phosphoric acid [M+H]+,98.984722,98.9794,0.00532200000000671,0.01,2424.0,99.7,protonated,H3PO4
8,Triethylamine [M+H]+,102.12827451792,102.122,0.006274517920004996,0.01,1016.0,41.7,protonated,C6H15N
8,PBG fragment 1 [M+H]+,122.060589,122.0556,0.004988999999994803,0.01,4442.0,182.9,protonated,C7H7NO
8,PBG fragment 2 [M+H]+,125.060255,125.0535,0.00675499999999829,0.01,20577.0,850.6,protonated,C7H8O2
